,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_aparc150+subcort,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.631868131868,0.231920812303,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.784166666667,0.169903976149,"[ 0.54166667  0.625       0.95833333  0.91666667  0.70833333  0.875
  0.83333333  0.91666667  0.91666667  0.625       0.45833333  1.          0.875
  0.91666667  1.          1.          0.70833333  0.70833333  0.58333333
  0.66666667  1.          0.70833333  0.95833333  0.625       0.54166667
  0.70833333  0.875       0.54166667  0.95833333  1.          0.91666667
  0.625       0.5         1.          0.875       0.70833333  0.70833333
  0.875       0.58333333  0.875       0.41666667  0.875       0.875       0.875
  0.66666667  0.91666667  1.          0.95833333  0.58333333  0.625     ]"
1,IPCAS_1_deter_csd_con_aparc150+subcort,max,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.655792124542,0.212499939571,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.861666666667,0.193728045351,"[ 0.33333333  0.875       1.          1.          0.66666667  1.
  0.91666667  1.          1.          0.875       0.16666667  1.
  0.91666667  0.91666667  0.875       0.79166667  1.          0.70833333
  0.375       1.          0.5         0.91666667  0.79166667  1.          0.75
  0.83333333  1.          0.58333333  0.54166667  1.          1.          1.
  0.91666667  0.91666667  0.95833333  1.          0.95833333  1.
  0.66666667  0.95833333  0.91666667  0.83333333  0.91666667  1.
  0.79166667  1.          1.          1.          1.          0.91666667]"
2,IPCAS_1_deter_csd_con_aparc150+subcort,max,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.696771978022,0.189674701179,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.934166666667,0.141197753366,"[ 0.45833333  1.          1.          1.          1.          1.
  0.95833333  0.91666667  1.          1.          0.375       1.          1.
  1.          1.          1.          1.          0.66666667  0.66666667
  1.          0.70833333  1.          1.          0.875       0.75        1.
  1.          0.91666667  1.          1.          1.          1.          1.
  1.          0.95833333  1.          1.          1.          0.66666667
  0.95833333  0.91666667  1.          1.          1.          1.          1.
  1.          0.91666667  1.          1.        ]"
3,IPCAS_1_deter_csd_con_aparc150+subcort,max,degrees,standard,SGD,0.807692307692,0.0610949440963,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.845454545455,0.0966376892067,"[ 0.72727273  0.81818182  0.90909091  0.72727273  0.81818182  0.90909091
  0.90909091  0.90909091  1.          0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  1.          0.72727273
  0.72727273  0.81818182  0.63636364  0.81818182  0.90909091  0.81818182
  0.63636364  0.81818182  0.90909091  0.90909091  0.90909091  1.
  0.81818182  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  1.          0.72727273  0.90909091  0.63636364  0.90909091
  0.90909091  1.          0.63636364  0.90909091  0.90909091  0.90909091
  0.81818182  0.90909091]",0.743360805861,0.0904356190827,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.850833333333,0.164378036516,"[ 0.875       0.95833333  0.95833333  0.95833333  0.91666667  1.          0.875
  1.          0.875       0.75        0.33333333  0.625       1.
  0.91666667  0.91666667  0.91666667  0.83333333  0.41666667  0.875
  0.79166667  0.625       0.91666667  0.95833333  0.79166667  0.58333333
  0.79166667  0.83333333  0.83333333  0.875       0.95833333  0.83333333
  0.91666667  0.91666667  0.95833333  0.79166667  1.          0.95833333
  1.          0.41666667  0.875       0.45833333  0.79166667  0.875
  0.95833333  1.          1.          1.          0.83333333  1.          1.        ]"
4,IPCAS_1_deter_csd_con_aparc150+subcort,max,closeness_centrality,standard,LR,0.846153846154,0.137799505094,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.905454545455,0.0944054908054,"[ 0.81818182  1.          1.          0.90909091  0.81818182  0.90909091
  0.81818182  1.          1.          1.          0.81818182  1.
  0.72727273  0.90909091  0.90909091  1.          0.81818182  0.81818182
  0.81818182  0.90909091  1.          1.          1.          0.81818182
  1.          0.72727273  0.81818182  1.          1.          1.
  0.90909091  1.          0.72727273  0.81818182  0.72727273  0.90909091
  0.90909091  1.          0.81818182  0.81818182  0.90909091  1.
  0.81818182  1.          0.72727273  1.          1.          0.90909091
  0.90909091  1.        ]",0.831845238095,0.220806226306,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9575,0.104579183185,"[ 0.58333333  1.          1.          1.          0.95833333  1.
  0.95833333  1.          1.          1.          0.41666667  1.
  0.91666667  1.          1.          1.          0.95833333  0.95833333
  0.79166667  1.          1.          1.          1.          0.95833333
  1.          0.91666667  0.95833333  1.          1.          1.          1.
  1.          0.875       1.          0.95833333  1.          1.          1.
  0.83333333  0.95833333  1.          1.          0.95833333  1.
  0.91666667  1.          1.          1.          1.          1.        ]"
5,IPCAS_1_deter_csd_con_aparc150+subcort,max,closeness_centrality,standard,SGD,0.865384615385,0.0468750311298,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.890909090909,0.0833195580901,"[ 0.81818182  0.81818182  1.          0.81818182  0.90909091  0.72727273
  0.90909091  0.81818182  1.          1.          0.81818182  1.
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273
  0.81818182  0.90909091  0.72727273  0.72727273  0.90909091  0.81818182
  1.          0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.90909091  1.          1.
  1.          0.81818182  1.          0.81818182  0.81818182  0.90909091
  1.          0.90909091  1.          0.81818182  0.90909091  0.81818182
  1.        ]",0.884043040293,0.152573685423,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.935,0.124208605893,"[ 0.33333333  0.95833333  1.          1.          1.          1.
  0.95833333  1.          1.          1.          0.58333333  1.          1.
  0.95833333  0.875       1.          1.          0.79166667  0.66666667
  0.95833333  1.          0.91666667  1.          0.875       1.          0.875
  0.95833333  1.          1.          1.          0.95833333  0.875       1.
  1.          0.875       1.          1.          1.          0.70833333
  1.          1.          1.          0.91666667  1.          0.91666667
  1.          0.95833333  0.91666667  0.91666667  1.        ]"
6,IPCAS_1_deter_csd_con_aparc150+subcort,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.658768315018,0.193871837286,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.766666666667,0.177364972115,"[ 0.375       0.91666667  0.91666667  0.83333333  0.625       0.91666667
  0.875       0.79166667  0.875       0.91666667  0.375       0.95833333
  0.79166667  0.83333333  0.79166667  0.91666667  0.95833333  0.79166667
  0.45833333  0.83333333  0.83333333  0.75        0.95833333  0.79166667
  0.625       1.          0.91666667  0.75        0.70833333  0.75
  0.41666667  0.91666667  0.66666667  0.875       0.83333333  0.625
  0.91666667  0.875       0.33333333  0.91666667  0.66666667  0.875
  0.58333333  0.58333333  0.79166667  1.          0.58333333  0.95833333
  0.66666667  0.41666667]"
7,IPCAS_1_deter_csd_con_aparc150+subcort,max,betweenness_centrality,standard,SGD,0.769230769231,0.0682022362988,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.750909090909,0.07673071944,"[ 0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.63636364  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.63636364  0.72727273  0.63636364  0.81818182
  0.72727273  0.45454545  0.72727273  0.81818182  0.72727273  0.81818182
  0.54545455  0.81818182]",0.658768315018,0.193871837286,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.791666666667,0.18104634152,"[ 0.375       1.          0.95833333  0.875       0.66666667  0.91666667
  0.875       0.83333333  0.875       1.          0.375       0.95833333
  0.83333333  0.83333333  0.875       0.91666667  0.95833333  0.79166667
  0.45833333  0.91666667  0.83333333  0.75        1.          0.79166667
  0.75        1.          0.91666667  0.75        0.75        0.79166667
  0.45833333  1.          0.66666667  0.83333333  0.83333333  0.625       1.
  0.91666667  0.33333333  0.91666667  0.66666667  0.875       0.66666667
  0.58333333  0.83333333  1.          0.70833333  0.95833333  0.66666667
  0.41666667]"
8,IPCAS_1_deter_csd_con_aparc150+subcort,max,eigenvector_centrality,standard,LR,0.75,0.0728885643482,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.772727272727,0.122305673155,"[ 0.81818182  0.72727273  0.90909091  0.72727273  0.63636364  0.72727273
  0.81818182  0.81818182  0.81818182  1.          0.81818182  0.81818182
  0.63636364  0.90909091  0.81818182  0.90909091  0.63636364  0.54545455
  0.63636364  0.72727273  0.81818182  1.          0.72727273  0.54545455
  0.72727273  0.54545455  0.63636364  0.63636364  0.81818182  0.72727273
  0.63636364  1.          0.72727273  0.90909091  0.72727273  0.90909091
  0.90909091  0.90909091  0.63636364  0.72727273  0.72727273  0.72727273
  0.81818182  0.90909091  0.54545455  0.90909091  0.81818182  0.90909091
  0.81818182  0.72727273]",0.739812271062,0.197077324364,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.845,0.164789427924,"[ 0.375       0.79166667  1.          0.875       0.58333333  0.91666667
  0.95833333  0.91666667  1.          1.          0.41666667  1.          0.75
  0.875       0.83333333  1.          0.875       0.625       0.625
  0.70833333  0.58333333  1.          0.95833333  0.66666667  0.70833333
  0.79166667  0.70833333  0.875       0.875       0.91666667  0.79166667
  1.          0.79166667  0.91666667  0.91666667  1.          1.          1.
  0.45833333  0.875       0.95833333  0.83333333  0.83333333  1.
  0.70833333  1.          1.          1.          1.          0.95833333]"
9,IPCAS_1_deter_csd_con_aparc150+subcort,max,eigenvector_centrality,standard,SGD,0.788461538462,0.0747108065822,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.774545454545,0.0797516807253,"[ 0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.72727273  0.90909091  0.81818182  0.81818182  0.81818182  0.45454545
  0.63636364  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  0.72727273  0.63636364  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.72727273  0.81818182  0.63636364  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  0.81818182  0.81818182
  0.72727273  0.81818182]",0.772206959707,0.219770799745,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.816666666667,0.172401340546,"[ 0.33333333  0.79166667  1.          0.875       0.58333333  0.79166667
  0.91666667  0.83333333  0.91666667  1.          0.41666667  0.83333333
  0.75        0.875       0.75        0.875       0.875       0.41666667
  0.83333333  0.70833333  0.58333333  1.          0.875       0.625       0.75
  0.66666667  0.70833333  0.83333333  0.83333333  0.875       0.75        1.
  0.875       0.95833333  0.91666667  1.          1.          1.
  0.29166667  0.875       0.875       0.91666667  0.79166667  1.
  0.79166667  0.91666667  0.875       0.875       1.          1.        ]"
