,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,bag_of_edges,standard,LR,0.769230769231,0.0703059053532,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.876363636364,0.0940546702282,"[ 0.63636364  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091
  1.          0.81818182  0.90909091  1.          0.72727273  0.81818182
  0.72727273  1.          1.          0.72727273  1.          0.81818182
  0.72727273  1.          0.81818182  0.72727273  0.90909091  0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  0.90909091  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  0.81818182  0.72727273  1.          0.81818182  0.72727273
  0.90909091  1.          0.90909091  1.          0.90909091  1.
  0.81818182  0.90909091]",0.62065018315,0.190003833466,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.931666666667,0.161537749286,"[ 0.25        1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  0.95833333  0.95833333  1.          0.58333333  0.54166667  1.          0.875
  1.          1.          0.95833333  1.          1.          1.          0.875
  0.875       0.95833333  1.          1.          1.          1.          1.
  1.          1.          1.          0.75        1.          0.91666667
  1.          1.          1.          1.          1.          0.95833333
  1.          0.875       1.        ]"
1,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,bag_of_edges,standard,SGD,0.826923076923,0.115678853017,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.785454545455,0.0787505739189,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.90909091  0.90909091  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  1.          0.81818182
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273
  0.90909091  0.81818182  0.72727273  1.          0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  1.
  0.72727273  0.72727273]",0.802197802198,0.0853818034605,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.925833333333,0.12673517884,"[ 0.625       1.          1.          1.          0.95833333  1.          1.
  0.95833333  1.          0.95833333  0.5         1.          0.875       1.
  1.          0.875       1.          0.54166667  0.70833333  1.          0.75
  0.95833333  0.91666667  1.          1.          1.          1.
  0.79166667  0.83333333  1.          1.          1.          0.91666667
  1.          1.          1.          1.          1.          0.625
  0.91666667  0.875       1.          0.875       1.          0.83333333
  1.          1.          1.          1.          1.        ]"
2,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.770833333333,0.19192834445,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.968333333333,0.0963068014213,"[ 0.66666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.45833333  1.          1.          1.
  1.          1.          1.          0.875       0.75        1.          1.
  0.91666667  1.          0.95833333  0.875       1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.91666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
3,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,degrees,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.898181818182,0.0826023032116,"[ 0.81818182  0.90909091  0.90909091  0.81818182  1.          0.90909091
  0.90909091  0.72727273  1.          0.81818182  0.81818182  0.90909091
  0.90909091  0.90909091  1.          0.81818182  0.90909091  0.81818182
  0.72727273  0.90909091  0.81818182  0.81818182  1.          0.90909091
  0.81818182  1.          1.          0.81818182  0.81818182  0.81818182
  1.          0.81818182  1.          1.          1.          0.90909091
  1.          1.          0.81818182  0.90909091  0.90909091  0.81818182
  1.          1.          1.          0.90909091  0.90909091  0.90909091
  0.72727273  0.90909091]",0.78559981685,0.15350419838,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.956666666667,0.104403065089,"[ 0.75        0.91666667  1.          1.          1.          1.          1.
  0.83333333  1.          1.          0.41666667  0.95833333  1.          1.
  1.          1.          1.          0.875       0.75        1.          1.
  0.83333333  1.          0.95833333  1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.70833333  0.95833333
  1.          1.          1.          1.          1.          0.95833333
  1.          0.95833333  1.          1.        ]"
4,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,closeness_centrality,standard,LR,0.788461538462,0.116803628717,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.874545454545,0.0701592050239,"[ 0.81818182  0.90909091  0.81818182  0.81818182  0.81818182  0.90909091
  1.          0.81818182  0.90909091  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.81818182
  0.72727273  0.72727273  0.90909091  0.81818182  0.90909091  1.
  0.72727273  0.90909091  0.90909091  1.          0.90909091  0.90909091
  0.81818182  0.81818182  0.90909091  0.90909091  1.          0.90909091
  0.90909091  0.90909091  0.81818182  1.          0.81818182  0.90909091
  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091  0.90909091
  0.90909091  1.        ]",0.875915750916,0.125410240683,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.895833333333,0.10582020916,"[ 0.54166667  0.875       0.95833333  0.91666667  0.70833333  0.95833333
  1.          0.95833333  0.91666667  0.79166667  0.66666667  1.
  0.83333333  0.75        0.83333333  0.95833333  1.          0.875
  0.70833333  0.70833333  0.95833333  0.79166667  0.91666667  1.
  0.79166667  0.95833333  0.95833333  1.          0.83333333  0.875
  0.91666667  0.83333333  1.          1.          1.          0.83333333
  0.83333333  1.          0.91666667  1.          0.91666667  1.
  0.91666667  0.95833333  1.          0.83333333  1.          0.83333333
  0.95833333  1.        ]"
5,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,closeness_centrality,standard,SGD,0.865384615385,0.0728372957449,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.898181818182,0.0955886503861,"[ 0.63636364  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182
  1.          0.72727273  1.          1.          0.81818182  1.
  0.81818182  1.          0.81818182  1.          1.          0.90909091
  0.72727273  0.81818182  1.          0.81818182  1.          0.90909091
  0.72727273  1.          0.90909091  1.          0.81818182  1.
  0.81818182  0.90909091  1.          0.90909091  1.          0.90909091
  1.          0.90909091  0.81818182  1.          0.81818182  0.90909091
  0.72727273  0.90909091  0.90909091  0.90909091  1.          0.81818182
  0.90909091  1.        ]",0.89217032967,0.103353404621,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.965,0.0813770374382,"[ 0.58333333  1.          1.          1.          0.95833333  0.95833333
  1.          0.91666667  1.          0.95833333  0.625       0.95833333
  0.91666667  1.          0.91666667  1.          1.          1.
  0.83333333  1.          1.          0.95833333  1.          1.
  0.91666667  1.          1.          1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.          1.
  1.          0.95833333  1.          0.95833333  1.          0.91666667
  1.          1.          1.          1.          0.95833333  1.          1.        ]"
6,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.507326007326,0.206082871783,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.53,0.192577545709,"[ 0.33333333  0.33333333  0.54166667  0.45833333  0.54166667  0.375       0.875
  0.41666667  0.58333333  0.83333333  0.04166667  0.70833333  0.25
  0.83333333  0.375       0.875       0.70833333  0.45833333  0.79166667
  0.375       0.25        0.5         0.75        0.75        0.20833333
  0.54166667  0.625       0.5         0.41666667  0.79166667  0.70833333
  0.41666667  0.45833333  0.625       0.79166667  0.45833333  0.41666667
  0.33333333  0.45833333  0.66666667  0.58333333  0.45833333  0.375
  0.83333333  0.58333333  0.33333333  0.5         0.33333333  0.45833333
  0.66666667]"
7,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,betweenness_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.714545454545,0.0364090625355,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.63636364  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.54545455  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.63636364  0.72727273
  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.644688644689,0.225884632915,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5325,0.230230862397,"[ 0.375       0.125       0.66666667  0.375       0.375       0.625
  0.58333333  0.625       0.45833333  0.83333333  0.04166667  0.375
  0.16666667  0.29166667  0.375       0.91666667  0.875       0.75
  0.70833333  0.25        0.54166667  0.25        0.58333333  0.79166667
  0.16666667  0.625       0.625       0.20833333  0.58333333  0.83333333
  0.79166667  0.5         0.625       0.875       0.95833333  0.54166667
  0.5         0.29166667  0.33333333  0.875       0.29166667  0.58333333
  0.29166667  0.75        0.625       0.375       0.66666667  0.41666667
  0.75        0.58333333]"
8,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,LR,0.75,0.0643990811056,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.767272727273,0.123529365465,"[ 0.45454545  0.63636364  0.90909091  0.72727273  0.54545455  0.81818182
  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.63636364  0.81818182  0.72727273  0.81818182  0.54545455
  0.63636364  0.54545455  0.81818182  0.81818182  0.72727273  0.81818182
  0.63636364  0.45454545  0.81818182  0.81818182  0.81818182  0.63636364
  0.63636364  0.90909091  1.          0.90909091  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  0.81818182  0.63636364  0.72727273  0.81818182  0.72727273
  0.72727273  1.        ]",0.748282967033,0.218396844137,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.906666666667,0.142292734257,"[ 0.375       0.91666667  1.          1.          0.79166667  1.          1.
  1.          0.875       0.95833333  0.41666667  1.          1.
  0.91666667  0.95833333  0.95833333  1.          0.58333333  0.66666667
  0.70833333  0.70833333  1.          0.95833333  0.875       0.75        0.875
  0.91666667  0.95833333  0.91666667  0.875       1.          1.          1.
  1.          0.95833333  1.          1.          1.          0.91666667
  0.875       1.          1.          0.95833333  0.95833333  0.91666667
  1.          0.875       1.          0.91666667  1.        ]"
9,IPCAS_1_deter_csa_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,SGD,0.807692307692,0.0753332206708,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.847272727273,0.0969621209162,"[ 0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273
  1.          0.90909091  0.90909091  0.90909091  0.72727273  0.81818182
  0.90909091  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.63636364  0.81818182  0.81818182  0.90909091  0.81818182
  0.63636364  0.90909091  0.81818182  0.81818182  1.          0.90909091
  0.81818182  0.90909091  1.          1.          0.81818182  1.          1.
  0.90909091  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.90909091  0.90909091  0.81818182  1.          0.81818182  0.72727273
  1.        ]",0.790178571429,0.241450926253,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.813333333333,0.201597784379,"[ 0.45833333  0.75        0.95833333  0.95833333  0.875       0.79166667
  1.          1.          1.          0.95833333  0.29166667  0.91666667
  0.75        0.91666667  0.79166667  0.79166667  1.          0.41666667
  0.25        0.70833333  0.16666667  0.91666667  0.79166667  0.54166667
  0.83333333  0.79166667  0.66666667  0.83333333  1.          0.83333333
  0.91666667  0.91666667  0.95833333  1.          0.95833333  0.95833333
  0.75        1.          0.875       0.66666667  0.70833333  0.875
  0.70833333  1.          0.875       0.91666667  0.91666667  1.
  0.70833333  1.        ]"
